customer_id,first_name,last_name,phone,risk_tier,created_at,account_id,account_type,status,balance
CUST_0036,User36,Client36,+1-555-952-4180,LOW,1703110400,ACCT_0036,checking,ACTIVE,7758.04
CUST_0037,User37,Client37,+1-555-114-9751,LOW,1703196800,ACCT_0037,checking,ACTIVE,3601.28
CUST_0038,User38,Client38,+1-555-814-3068,LOW,1703283200,ACCT_0038,checking,ACTIVE,16127.81
CUST_0039,User39,Client39,+1-555-687-5658,LOW,1703369600,ACCT_0039,checking,ACTIVE,12000.23
CUST_0040,User40,Client40,+1-555-152-5136,LOW,1703456000,ACCT_0040,checking,ACTIVE,23556.06
CUST_0041,User41,Client41,+1-555-510-9056,LOW,1703542400,ACCT_0041,checking,ACTIVE,2315.01
CUST_0042,User42,Client42,+1-555-252-5978,LOW,1703628800,ACCT_0042,checking,ACTIVE,2586.93
CUST_0043,User43,Client43,+1-555-720-4697,LOW,1703715200,ACCT_0043,checking,ACTIVE,19504.49
CUST_0044,User44,Client44,+1-555-404-8025,LOW,1703801600,ACCT_0044,checking,ACTIVE,7981.82
CUST_0045,User45,Client45,+1-555-881-4404,LOW,1703888000,ACCT_0045,checking,ACTIVE,15825.12
CUST_0046,User46,Client46,+1-555-345-3847,LOW,1703974400,ACCT_0046,checking,ACTIVE,14023.81
CUST_0047,User47,Client47,+1-555-561-8699,LOW,1704060800,ACCT_0047,checking,ACTIVE,7635.85
CUST_0048,User48,Client48,+1-555-819-8438,LOW,1704147200,ACCT_0048,checking,ACTIVE,2243.9
CUST_0049,User49,Client49,+1-555-535-2880,LOW,1704233600,ACCT_0049,checking,ACTIVE,13841.78
CUST_0050,User50,Client50,+1-555-946-3330,LOW,1704320000,ACCT_0050,checking,ACTIVE,2249.54
CUST_0051,User51,Client51,+1-555-549-3037,LOW,1704406400,ACCT_0051,checking,ACTIVE,11983.1
CUST_0052,User52,Client52,+1-555-612-9847,LOW,1704492800,ACCT_0052,checking,ACTIVE,12597.98
CUST_0053,User53,Client53,+1-555-852-6280,LOW,1704579200,ACCT_0053,checking,ACTIVE,15290.98
CUST_0054,User54,Client54,+1-555-790-1339,LOW,1704665600,ACCT_0054,checking,ACTIVE,24989.52
CUST_0055,User55,Client55,+1-555-881-3870,LOW,1704752000,ACCT_0055,checking,ACTIVE,12027.27
CUST_0056,User56,Client56,+1-555-285-8141,LOW,1704838400,ACCT_0056,checking,ACTIVE,16052.23
CUST_0057,User57,Client57,+1-555-456-7690,LOW,1704924800,ACCT_0057,checking,ACTIVE,8666.06
CUST_0058,User58,Client58,+1-555-437-7744,LOW,1705011200,ACCT_0058,checking,ACTIVE,17495.01
CUST_0059,User59,Client59,+1-555-565-2442,LOW,1705097600,ACCT_0059,checking,ACTIVE,8205.67
CUST_0060,User60,Client60,+1-555-985-9431,LOW,1705184000,ACCT_0060,checking,ACTIVE,20710.72
CUST_0061,User61,Client61,+1-555-155-4073,LOW,1705270400,ACCT_0061,checking,ACTIVE,13201.77
CUST_0062,User62,Client62,+1-555-878-1845,LOW,1705356800,ACCT_0062,checking,ACTIVE,5487.18
CUST_0063,User63,Client63,+1-555-548-8941,LOW,1705443200,ACCT_0063,checking,ACTIVE,3474.94
CUST_0064,User64,Client64,+1-555-418-1224,LOW,1705529600,ACCT_0064,checking,ACTIVE,14030.16
CUST_0065,User65,Client65,+1-555-572-2924,LOW,1705616000,ACCT_0065,checking,ACTIVE,16368.89
CUST_0066,User66,Client66,+1-555-621-5479,LOW,1705702400,ACCT_0066,checking,ACTIVE,10679.51
CUST_0067,User67,Client67,+1-555-567-3369,LOW,1705788800,ACCT_0067,checking,ACTIVE,9897.86
CUST_0068,User68,Client68,+1-555-382-7798,LOW,1705875200,ACCT_0068,checking,ACTIVE,8826.94
CUST_0069,User69,Client69,+1-555-389-5891,LOW,1705961600,ACCT_0069,checking,ACTIVE,21018.16
CUST_0070,User70,Client70,+1-555-557-9824,LOW,1706048000,ACCT_0070,checking,ACTIVE,12366.36
CUST_0071,User71,Client71,+1-555-429-4090,LOW,1706134400,ACCT_0071,checking,ACTIVE,24528.98
CUST_0072,User72,Client72,+1-555-976-7730,LOW,1706220800,ACCT_0072,checking,ACTIVE,1569.36
CUST_0073,User73,Client73,+1-555-779-3492,LOW,1706307200,ACCT_0073,checking,ACTIVE,12635.55
CUST_0074,User74,Client74,+1-555-990-2644,LOW,1706393600,ACCT_0074,checking,ACTIVE,21917.66
CUST_0075,User75,Client75,+1-555-115-3361,LOW,1706480000,ACCT_0075,checking,ACTIVE,10544.48
CUST_0076,User76,Client76,+1-555-580-5342,LOW,1706566400,ACCT_0076,checking,ACTIVE,8794.75
CUST_0077,User77,Client77,+1-555-972-9742,LOW,1706652800,ACCT_0077,checking,ACTIVE,9810.23
CUST_0078,User78,Client78,+1-555-732-2121,LOW,1706739200,ACCT_0078,checking,ACTIVE,6251.87
CUST_0079,User79,Client79,+1-555-864-2480,LOW,1706825600,ACCT_0079,checking,ACTIVE,11132.3
CUST_0080,User80,Client80,+1-555-270-5906,LOW,1706912000,ACCT_0080,checking,ACTIVE,22633.89
CUST_0081,User81,Client81,+1-555-400-6873,LOW,1706998400,ACCT_0081,checking,ACTIVE,9683.61
CUST_0082,User82,Client82,+1-555-679-3950,LOW,1707084800,ACCT_0082,checking,ACTIVE,4664.6
CUST_0083,User83,Client83,+1-555-609-3344,LOW,1707171200,ACCT_0083,checking,ACTIVE,6188.62
CUST_0084,User84,Client84,+1-555-361-1153,LOW,1707257600,ACCT_0084,checking,ACTIVE,22523.26
CUST_0085,User85,Client85,+1-555-175-8237,LOW,1707344000,ACCT_0085,checking,ACTIVE,23658.27
CUST_0086,User86,Client86,+1-555-806-5097,LOW,1707430400,ACCT_0086,checking,ACTIVE,11692.48
CUST_0087,User87,Client87,+1-555-973-8916,LOW,1707516800,ACCT_0087,checking,ACTIVE,3113.01
CUST_0088,User88,Client88,+1-555-816-5837,LOW,1707603200,ACCT_0088,checking,ACTIVE,1037.52
CUST_0089,User89,Client89,+1-555-108-1803,LOW,1707689600,ACCT_0089,checking,ACTIVE,22810.12
CUST_0090,User90,Client90,+1-555-721-6772,LOW,1707776000,ACCT_0090,checking,ACTIVE,5865.61
CUST_0091,User91,Client91,+1-555-743-2591,LOW,1707862400,ACCT_0091,checking,ACTIVE,22633.39
CUST_0092,User92,Client92,+1-555-907-8222,LOW,1707948800,ACCT_0092,checking,ACTIVE,1317.43
CUST_0093,User93,Client93,+1-555-402-6352,LOW,1708035200,ACCT_0093,checking,ACTIVE,18813.28
CUST_0094,User94,Client94,+1-555-905-9837,LOW,1708121600,ACCT_0094,checking,ACTIVE,21973.28
CUST_0095,User95,Client95,+1-555-363-8894,LOW,1708208000,ACCT_0095,checking,ACTIVE,24200.91
CUST_0096,User96,Client96,+1-555-579-2233,LOW,1708294400,ACCT_0096,checking,ACTIVE,3948.55
CUST_0097,User97,Client97,+1-555-192-7464,LOW,1708380800,ACCT_0097,checking,ACTIVE,841.01
CUST_0098,User98,Client98,+1-555-477-5295,LOW,1708467200,ACCT_0098,checking,ACTIVE,14821.72
CUST_0099,User99,Client99,+1-555-791-4830,LOW,1708553600,ACCT_0099,checking,ACTIVE,12051.18
CUST_0100,User100,Client100,+1-555-763-2035,LOW,1708640000,ACCT_0100,checking,ACTIVE,16067.4
